,YAL/YAT YON
2019-01-07 00:00:00,PTF>=SMF
2019-01-07 01:00:00,PTF>=SMF
2019-01-07 02:00:00,PTF>=SMF
2019-01-07 03:00:00,PTF>=SMF
2019-01-07 04:00:00,PTF>=SMF
2019-01-07 05:00:00,PTF>=SMF
2019-01-07 06:00:00,PTF>=SMF
2019-01-07 07:00:00,SMF>PTF
2019-01-07 08:00:00,PTF>=SMF
2019-01-07 09:00:00,PTF>=SMF
2019-01-07 10:00:00,PTF>=SMF
2019-01-07 11:00:00,PTF>=SMF
2019-01-07 12:00:00,SMF>PTF
2019-01-07 13:00:00,PTF>=SMF
2019-01-07 14:00:00,SMF>PTF
2019-01-07 15:00:00,SMF>PTF
2019-01-07 16:00:00,PTF>=SMF
2019-01-07 17:00:00,PTF>=SMF
2019-01-07 18:00:00,PTF>=SMF
2019-01-07 19:00:00,PTF>=SMF
2019-01-07 20:00:00,PTF>=SMF
2019-01-07 21:00:00,SMF>PTF
2019-01-07 22:00:00,PTF>=SMF
2019-01-07 23:00:00,SMF>PTF
